校区,开课学院,课程代码,课程名称,学号,考试时间,考试地点
仙林,计算机学院,B0300012S,高级语言程序设计,B13011812,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13011812,2014年02月21日(18:30-20:20),教2-400
,人文与社会科学学院,00X110088,大学语文,B13011815,本课程考核方式为提交论文，具体要求请于2月15日前联系王翚老师，联系电话13851727239,
仙林,计算机学院,B0300012S,高级语言程序设计,B13011815,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13011815,2014年02月21日(18:30-20:20),教2-400
仙林,计算机学院,B0300012S,高级语言程序设计,B13011816,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13011829,2014年02月21日(18:30-20:20),教2-400
仙林,计算机学院,B0300012S,高级语言程序设计,B13011830,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13011830,2014年02月21日(18:30-20:20),教2-400
仙林,计算机学院,B0300012S,高级语言程序设计,B13011831,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13011831,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13011831,2014年02月22日(13:30-15:20),教2-202
仙林,理学院,B0600011S,高等数学A(上),B13011832,2014年02月21日(18:30-20:20),教2-401
仙林,计算机学院,B0300012S,高级语言程序设计,B13011835,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13011835,2014年02月21日(18:30-20:20),教2-401
仙林,计算机学院,B0300012S,高级语言程序设计,B13011836,2014年02月22日(16:00-17:50),教2-102
仙林,计算机学院,B0300012S,高级语言程序设计,B13011837,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13011837,2014年02月21日(18:30-20:20),教2-401
仙林,计算机学院,B0300012S,高级语言程序设计,B13011838,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13011838,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13011838,2014年02月22日(13:30-15:20),教2-202
仙林,计算机学院,B0300012S,高级语言程序设计,B13011839,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13011839,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600011S,高等数学A(上),B13020109,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020109,2014年02月22日(13:30-15:20),教2-202
仙林,计算机学院,B0300012S,高级语言程序设计,B13020112,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020112,2014年02月21日(18:30-20:20),教2-401
仙林,计算机学院,B0300012S,高级语言程序设计,B13020115,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020115,2014年02月21日(18:30-20:20),教2-401
仙林,计算机学院,B0300012S,高级语言程序设计,B13020116,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020116,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600011S,高等数学A(上),B13020117,2014年02月21日(18:30-20:20),教2-401
仙林,教育科学与技术学院,B3500011S,大学生心理健康,B13020117,2014年02月16日(13:30-15:20),教2-101
仙林,计算机学院,B0300012S,高级语言程序设计,B13020118,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020118,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020118,2014年02月22日(13:30-15:20),教2-202
仙林,理学院,B0600011S,高等数学A(上),B13020126,2014年02月21日(18:30-20:20),教2-401
仙林,计算机学院,B0300012S,高级语言程序设计,B13020127,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020127,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020127,2014年02月22日(13:30-15:20),教2-202
仙林,理学院,B0600011S,高等数学A(上),B13020128,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020128,2014年02月22日(13:30-15:20),教2-202
仙林,理学院,B0600011S,高等数学A(上),B13020130,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020130,2014年02月22日(13:30-15:20),教2-202
仙林,计算机学院,B0300012S,高级语言程序设计,B13020133,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020133,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020133,2014年02月22日(13:30-15:20),教2-202
仙林,教育科学与技术学院,B3500011S,大学生心理健康,B13020133,2014年02月16日(13:30-15:20),教2-101
仙林,理学院,B0600011S,高等数学A(上),B13020135,2014年02月21日(18:30-20:20),教2-401
仙林,计算机学院,B0300012S,高级语言程序设计,B13020136,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020136,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020136,2014年02月22日(13:30-15:20),教2-202
仙林,理学院,B0600011S,高等数学A(上),B13020203,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600011S,高等数学A(上),B13020204,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600011S,高等数学A(上),B13020207,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600011S,高等数学A(上),B13020216,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600011S,高等数学A(上),B13020218,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600011S,高等数学A(上),B13020221,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600011S,高等数学A(上),B13020222,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020222,2014年02月22日(13:30-15:20),教2-202
仙林,理学院,B0600031S,线性代数与解析几何,B13020225,2014年02月22日(13:30-15:20),教2-202
仙林,理学院,B0600031S,线性代数与解析几何,B13020231,2014年02月22日(13:30-15:20),教2-202
仙林,理学院,B0600011S,高等数学A(上),B13020233,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600011S,高等数学A(上),B13020236,2014年02月21日(18:30-20:20),教2-401
仙林,体育部,B1000011C,体育Ⅰ,B13020236,2014年02月23日10:00,仙林体育场（北田径场）
仙林,理学院,B0600011S,高等数学A(上),B13020307,2014年02月21日(18:30-20:20),教2-401
仙林,计算机学院,B0300012S,高级语言程序设计,B13020310,2014年02月22日(16:00-17:50),教2-102
仙林,电子科学与工程学院,B0402011S,电子科学与技术导论,B13020310,2014年02月17日(16:00-17:50),教2-102
仙林,计算机学院,B0300012S,高级语言程序设计,B13020314,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020314,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600011S,高等数学A(上),B13020315,2014年02月21日(18:30-20:20),教2-401
仙林,体育部,B1000011C,体育Ⅰ,B13020315,2014年02月23日10:00,仙林体育场（北田径场）
仙林,计算机学院,B0300012S,高级语言程序设计,B13020316,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020316,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020316,2014年02月22日(13:30-15:20),教2-202
仙林,理学院,B0600011S,高等数学A(上),B13020317,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600011S,高等数学A(上),B13020318,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600011S,高等数学A(上),B13020319,2014年02月21日(18:30-20:20),教2-401
仙林,电子科学与工程学院,B0402011S,电子科学与技术导论,B13020322,2014年02月17日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020324,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020324,2014年02月22日(13:30-15:20),教2-202
仙林,理学院,B0600011S,高等数学A(上),B13020325,2014年02月21日(18:30-20:20),教2-401
仙林,计算机学院,B0300012S,高级语言程序设计,B13020326,2014年02月22日(16:00-17:50),教2-102
仙林,外国语学院,B0800012S,大学英语Ⅰ,B13020330,2014年02月19日(18:30-20:30),教3-300
仙林,计算机学院,B0300012S,高级语言程序设计,B13020331,2014年02月22日(16:00-17:50),教2-102
仙林,电子科学与工程学院,B0402011S,电子科学与技术导论,B13020331,2014年02月17日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020333,2014年02月21日(18:30-20:20),教2-401
仙林,计算机学院,B0300012S,高级语言程序设计,B13020402,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020408,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600011S,高等数学A(上),B13020410,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020410,2014年02月22日(13:30-15:20),教2-202
仙林,理学院,B0600031S,线性代数与解析几何,B13020412,2014年02月22日(13:30-15:20),教2-202
仙林,电子科学与工程学院,B0402011S,电子科学与技术导论,B13020413,2014年02月17日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020413,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020413,2014年02月22日(13:30-15:20),教2-202
仙林,理学院,B0600011S,高等数学A(上),B13020414,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020414,2014年02月22日(13:30-15:20),教2-202
仙林,理学院,B0600011S,高等数学A(上),B13020415,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020415,2014年02月22日(13:30-15:20),教2-202
仙林,理学院,B0600011S,高等数学A(上),B13020420,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600011S,高等数学A(上),B13020426,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600011S,高等数学A(上),B13020427,2014年02月21日(18:30-20:20),教2-401
仙林,外国语学院,B0800012S,大学英语Ⅰ,B13020428,2014年02月19日(18:30-20:30),教3-300
仙林,计算机学院,B0300012S,高级语言程序设计,B13020431,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020431,2014年02月21日(18:30-20:20),教2-401
仙林,电子科学与工程学院,B0402011S,电子科学与技术导论,B13020432,2014年02月17日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020432,2014年02月21日(18:30-20:20),教2-401
仙林,电子科学与工程学院,B0402011S,电子科学与技术导论,B13020433,2014年02月17日(16:00-17:50),教2-102
仙林,电子科学与工程学院,B0402011S,电子科学与技术导论,B13020435,2014年02月17日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020435,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020435,2014年02月22日(13:30-15:20),教2-202
仙林,理学院,B0600011S,高等数学A(上),B13020501,2014年02月21日(18:30-20:20),教2-401
仙林,计算机学院,B0300012S,高级语言程序设计,B13020502,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020502,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020502,2014年02月22日(13:30-15:20),教2-202
仙林,计算机学院,B0300012S,高级语言程序设计,B13020503,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020503,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600011S,高等数学A(上),B13020509,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600011S,高等数学A(上),B13020511,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020511,2014年02月22日(13:30-15:20),教2-202
仙林,外国语学院,B0800012S,大学英语Ⅰ,B13020512,2014年02月19日(18:30-20:30),教3-300
仙林,理学院,B0600011S,高等数学A(上),B13020520,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600011S,高等数学A(上),B13020523,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020523,2014年02月22日(13:30-15:20),教2-202
仙林,理学院,B0600011S,高等数学A(上),B13020525,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020525,2014年02月22日(13:30-15:20),教2-202
仙林,理学院,B0600011S,高等数学A(上),B13020528,2014年02月21日(18:30-20:20),教2-401
,计算机学院,00X040042,ACM程序设计基础,B13020602,本课程考核方式为提交大型作业，具体要求请于2月15日前联系陈志老师，联系电话13813930027,
仙林,理学院,B0600011S,高等数学A(上),B13020602,2014年02月21日(18:30-20:20),教2-401
仙林,教育科学与技术学院,B3500011S,大学生心理健康,B13020603,2014年02月16日(13:30-15:20),教2-101
仙林,理学院,B0600011S,高等数学A(上),B13020605,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600011S,高等数学A(上),B13020606,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020606,2014年02月22日(13:30-15:20),教2-202
仙林,理学院,B0600011S,高等数学A(上),B13020608,2014年02月21日(18:30-20:20),教2-401
,计算机学院,00X040042,ACM程序设计基础,B13020612,本课程考核方式为提交大型作业，具体要求请于2月15日前联系陈志老师，联系电话13813930027,
仙林,教育科学与技术学院,B3500011S,大学生心理健康,B13020613,2014年02月16日(13:30-15:20),教2-101
仙林,计算机学院,B0300012S,高级语言程序设计,B13020614,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020614,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020614,2014年02月22日(13:30-15:20),教2-202
仙林,理学院,B0600011S,高等数学A(上),B13020616,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020616,2014年02月22日(13:30-15:20),教2-202
仙林,外国语学院,B0800012S,大学英语Ⅰ,B13020616,2014年02月19日(18:30-20:30),教3-300
仙林,理学院,B0600011S,高等数学A(上),B13020617,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600011S,高等数学A(上),B13020618,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600011S,高等数学A(上),B13020619,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600011S,高等数学A(上),B13020620,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600011S,高等数学A(上),B13020624,2014年02月21日(18:30-20:20),教2-401
仙林,外国语学院,B0800012S,大学英语Ⅰ,B13020624,2014年02月19日(18:30-20:30),教3-300
仙林,计算机学院,B0300012S,高级语言程序设计,B13020627,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020627,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020627,2014年02月22日(13:30-15:20),教2-202
仙林,计算机学院,B0300012S,高级语言程序设计,B13020703,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020703,2014年02月21日(18:30-20:20),教2-401
仙林,计算机学院,B0300012S,高级语言程序设计,B13020704,2014年02月22日(16:00-17:50),教2-102
仙林,计算机学院,B0300012S,高级语言程序设计,B13020713,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020713,2014年02月21日(18:30-20:20),教2-401
仙林,教育科学与技术学院,B3500011S,大学生心理健康,B13020717,2014年02月16日(13:30-15:20),教2-101
仙林,理学院,B0600011S,高等数学A(上),B13020719,2014年02月21日(18:30-20:20),教2-401
仙林,计算机学院,B0300012S,高级语言程序设计,B13020720,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020720,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020720,2014年02月22日(13:30-15:20),教2-202
仙林,计算机学院,B0300012S,高级语言程序设计,B13020805,2014年02月22日(16:00-17:50),教2-102
仙林,电子科学与工程学院,B0401011C,微电子学导论,B13020805,2014年02月16日(10:25-12:15),教2-101
仙林,理学院,B0600011S,高等数学A(上),B13020805,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600411S,制图基础及计算机绘图,B13020805,2014年02月18日(18:30-20:20),教2-400
仙林,外国语学院,B0800012S,大学英语Ⅰ,B13020805,2014年02月19日(18:30-20:30),教3-300
仙林,计算机学院,B0300012S,高级语言程序设计,B13020809,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020809,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020809,2014年02月22日(13:30-15:20),教2-202
仙林,计算机学院,B0300012S,高级语言程序设计,B13020810,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020810,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020810,2014年02月22日(13:30-15:20),教2-202
仙林,教育科学与技术学院,B3500011S,大学生心理健康,B13020810,2014年02月16日(13:30-15:20),教2-101
仙林,理学院,B0600011S,高等数学A(上),B13020811,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020811,2014年02月22日(13:30-15:20),教2-202
仙林,计算机学院,B0300012S,高级语言程序设计,B13020812,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020813,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020813,2014年02月22日(13:30-15:20),教2-202
仙林,计算机学院,B0300012S,高级语言程序设计,B13020815,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020815,2014年02月21日(18:30-20:20),教2-401
仙林,计算机学院,B0300012S,高级语言程序设计,B13020816,2014年02月22日(16:00-17:50),教2-102
仙林,计算机学院,B0300012S,高级语言程序设计,B13020817,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020817,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020817,2014年02月22日(13:30-15:20),教2-202
仙林,理学院,B0600011S,高等数学A(上),B13020818,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020818,2014年02月22日(13:30-15:20),教2-202
仙林,计算机学院,B0300012S,高级语言程序设计,B13020819,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020820,2014年02月21日(18:30-20:20),教2-401
仙林,计算机学院,B0300012S,高级语言程序设计,B13020823,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020824,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020824,2014年02月22日(13:30-15:20),教2-202
仙林,教育科学与技术学院,B3500011S,大学生心理健康,B13020826,2014年02月16日(13:30-15:20),教2-101
仙林,理学院,B0600011S,高等数学A(上),B13020827,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600011S,高等数学A(上),B13020828,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600411S,制图基础及计算机绘图,B13020902,2014年02月18日(18:30-20:20),教2-400
仙林,理学院,B0600011S,高等数学A(上),B13020909,2014年02月21日(18:30-20:20),教2-401
仙林,理学院,B0600031S,线性代数与解析几何,B13020909,2014年02月22日(13:30-15:20),教2-202
仙林,外国语学院,B0800012S,大学英语Ⅰ,B13020909,2014年02月19日(18:30-20:30),教3-300
仙林,计算机学院,B0300012S,高级语言程序设计,B13020910,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020910,2014年02月21日(18:30-20:20),教2-401
仙林,计算机学院,B0300012S,高级语言程序设计,B13020914,2014年02月22日(16:00-17:50),教2-102
仙林,计算机学院,B0300012S,高级语言程序设计,B13020915,2014年02月22日(16:00-17:50),教2-102
仙林,理学院,B0600011S,高等数学A(上),B13020915,2014年02月21日(18:30-20:20),教2-402
仙林,理学院,B0600011S,高等数学A(上),B13020919,2014年02月21日(18:30-20:20),教2-402
仙林,理学院,B0600031S,线性代数与解析几何,B13020919,2014年02月22日(13:30-15:20),教2-202
仙林,电子科学与工程学院,B0401011C,微电子学导论,B13020923,2014年02月16日(10:25-12:15),教2-101
仙林,理学院,B0600411S,制图基础及计算机绘图,B13020924,2014年02月18日(18:30-20:20),教2-400
仙林,理学院,B0600011S,高等数学A(上),B13020925,2014年02月21日(18:30-20:20),教2-402
仙林,理学院,B0600031S,线性代数与解析几何,B13020925,2014年02月22日(13:30-15:20),教2-202
